State,Centre,Commodity,Variety,Unit,Date,Price
Andhra Pradesh,Chittoor,Moong,Split,Kg.,JAN-2001,24.0
Andhra Pradesh,Guntur,Moong,Split,Kg.,JAN-2001,26.0
Andhra Pradesh,Kurnool,Moong,Split,Kg.,JAN-2001,25.5
Bihar,Hajipur,Moong,Split,Kg.,JAN-2001,28.0
Bihar,Patna,Moong,Split,Kg.,JAN-2001,27.0
Goa,Panaji,Moong,Split,Kg.,JAN-2001,28.0
Gujarat,Gandhi Nagar,Moong,Split,Kg.,JAN-2001,24.0
Gujarat,Vadodra,Moong,Split,Kg.,JAN-2001,25.0
Haryana,Karnal,Moong,Split,Kg.,JAN-2001,28.0
Himachal Pradesh,Mandi,Moong,Split,Kg.,JAN-2001,32.0
Jharkhand,Dhanbad,Moong,Split,Kg.,JAN-2001,28.0
Karnataka,Bangalore,Moong,Split,Kg.,JAN-2001,28.0
Karnataka,Tumkur,Moong,Split,Kg.,JAN-2001,27.0
Kerala,Ernakulam,Moong,Split,Kg.,JAN-2001,32.0
Kerala,Khozhikode,Moong,Split,Kg.,JAN-2001,30.0
Madhya Pradesh,Bhopal,Moong,Split,Kg.,JAN-2001,28.0
Madhya Pradesh,Sehore,Moong,Split,Kg.,JAN-2001,27.0
Maharashtra,Nasik,Moong,Split,Kg.,JAN-2001,28.0
Mizoram,Aizwal,Moong,Split,Kg.,JAN-2001,34.0
National Capital,Delhi,Moong,Split,Kg.,JAN-2001,28.0
Orissa,Bhubneshwar,Moong,Split,Kg.,JAN-2001,27.0
Orissa,Cuttack,Moong,Split,Kg.,JAN-2001,25.0
Punjab,Amritsar,Moong,Split,Kg.,JAN-2001,32.0
Punjab,Ludhiana,Moong,Split,Kg.,JAN-2001,32.0
Rajasthan,Jaipur,Moong,Split,Kg.,JAN-2001,25.0
Rajasthan,Udaipur,Moong,Split,Kg.,JAN-2001,25.0
Tamil Nadu,Coimbatore,Moong,Split,Kg.,JAN-2001,29.0
Tamil Nadu,Madurai,Moong,Split,Kg.,JAN-2001,26.0
Tamil Nadu,Tirunelveli,Moong,Split,Kg.,JAN-2001,24.0
Tripura,Agartala,Moong,Split,Kg.,JAN-2001,31.0
Uttar Pradesh,Agra,Moong,Split,Kg.,JAN-2001,30.0
Uttar Pradesh,Allahabad,Moong,Split,Kg.,JAN-2001,32.0
Uttar Pradesh,Gorakhpur,Moong,Split,Kg.,JAN-2001,28.0
Uttarakhand,Haldwani,Moong,Split,Kg.,JAN-2001,30.0
West Bengal,Howrah,Moong,Split,Kg.,JAN-2001,32.0
West Bengal,Kolkata,Moong,Split,Kg.,JAN-2001,34.0
Andhra Pradesh,Chittoor,Moong,Split,Kg.,FEB-2001,26.0
Andhra Pradesh,Guntur,Moong,Split,Kg.,FEB-2001,26.0
Assam,Dibrugarh,Moong,Split,Kg.,FEB-2001,30.0
Bihar,Hajipur,Moong,Split,Kg.,FEB-2001,26.0
Bihar,Muzaffarpur,Moong,Split,Kg.,FEB-2001,27.0
Gujarat,Gandhi Nagar,Moong,Split,Kg.,FEB-2001,24.0
Gujarat,Vadodra,Moong,Split,Kg.,FEB-2001,26.0
Haryana,Karnal,Moong,Split,Kg.,FEB-2001,32.0
Himachal Pradesh,Mandi,Moong,Split,Kg.,FEB-2001,32.0
Jharkhand,Ranchi,Moong,Split,Kg.,FEB-2001,29.0
Karnataka,Bangalore,Moong,Split,Kg.,FEB-2001,28.0
Karnataka,Tumkur,Moong,Split,Kg.,FEB-2001,28.0
Kerala,Ernakulam,Moong,Split,Kg.,FEB-2001,32.0
Kerala,Khozhikode,Moong,Split,Kg.,FEB-2001,30.0
Madhya Pradesh,Bhopal,Moong,Split,Kg.,FEB-2001,28.5
Madhya Pradesh,Sehore,Moong,Split,Kg.,FEB-2001,28.0
Maharashtra,Mumbai,Moong,Split,Kg.,FEB-2001,30.0
Maharashtra,Nasik,Moong,Split,Kg.,FEB-2001,28.0
Mizoram,Aizwal,Moong,Split,Kg.,FEB-2001,34.0
National Capital,Delhi,Moong,Split,Kg.,FEB-2001,30.0
Orissa,Bhubneshwar,Moong,Split,Kg.,FEB-2001,28.0
Orissa,Cuttack,Moong,Split,Kg.,FEB-2001,25.0
Punjab,Amritsar,Moong,Split,Kg.,FEB-2001,32.0
Punjab,Ludhiana,Moong,Split,Kg.,FEB-2001,31.0
Rajasthan,Jaipur,Moong,Split,Kg.,FEB-2001,25.0
Rajasthan,Udaipur,Moong,Split,Kg.,FEB-2001,25.0
Tamil Nadu,Coimbatore,Moong,Split,Kg.,FEB-2001,29.0
Tamil Nadu,Madurai,Moong,Split,Kg.,FEB-2001,26.0
Tamil Nadu,Tirunelveli,Moong,Split,Kg.,FEB-2001,24.0
